date,product,category,sales,price,stock
2022-01-07,Eggs,Dairy,88,76.98808270349211,458
2022-01-07,Soap,Personal Care,51,107.0419874897375,336
2022-01-07,Shampoo,Personal Care,73,141.56284624915136,433
2022-01-08,Milk,Dairy,107,41.97529801285681,359
2022-01-08,Bread,Bakery,109,86.72887250102775,251
2022-01-08,Rice,Grocery,87,104.47721611955323,312
2022-01-08,Eggs,Dairy,122,199.57069215929894,386
2022-01-08,Soap,Personal Care,72,88.09703253046395,423
2022-01-08,Shampoo,Personal Care,102,55.51675922672476,329
2022-01-09,Milk,Dairy,100,55.99050158718508,402
2022-01-09,Bread,Bakery,91,79.87879521665812,297
2022-01-09,Rice,Grocery,85,165.12205591168293,343
2022-01-09,Eggs,Dairy,110,70.94821234462981,458
2022-01-09,Soap,Personal Care,92,13.15168749629267,346
2022-01-09,Shampoo,Personal Care,95,43.129621510948375,327
2022-01-10,Milk,Dairy,63,169.16492012239232,466
2022-01-10,Bread,Bakery,84,185.69178747292693,497
2022-01-10,Rice,Grocery,48,135.396968746494,311
2022-01-10,Eggs,Dairy,83,110.63360988764123,201
2022-01-10,Soap,Personal Care,55,193.4296767448708,236
2022-01-10,Shampoo,Personal Care,74,62.98555699251455,346
2022-01-11,Milk,Dairy,70,180.45094939098965,351
2022-01-11,Bread,Bakery,61,131.98601276931467,274
2022-01-11,Rice,Grocery,63,159.21472371164927,303
2022-01-11,Eggs,Dairy,61,80.73372564673119,298
2022-01-11,Soap,Personal Care,81,40.55352976932474,393
2022-01-11,Shampoo,Personal Care,63,133.8726393054941,368
2022-01-12,Milk,Dairy,43,13.434319086948964,476
2022-01-12,Bread,Bakery,74,79.62906907074338,334
2022-01-12,Rice,Grocery,58,68.53155045195395,375
2022-01-12,Eggs,Dairy,69,130.90319745532014,221
2022-01-12,Soap,Personal Care,58,195.9896430722517,250
2022-01-12,Shampoo,Personal Care,68,129.91633893947994,425
2022-01-13,Milk,Dairy,60,119.61173807900823,346
2022-01-13,Bread,Bakery,45,156.02526271819872,216
2022-01-13,Rice,Grocery,64,183.82423414188523,298
2022-01-13,Eggs,Dairy,75,191.08365093455112,380
2022-01-13,Soap,Personal Care,42,24.31578864116436,452
2022-01-13,Shampoo,Personal Care,60,70.21518097969275,327
2022-01-14,Milk,Dairy,66,187.86940709054838,257
2022-01-14,Bread,Bakery,49,23.37906486141334,313
2022-01-14,Rice,Grocery,55,58.291093323250365,472
2022-01-14,Eggs,Dairy,47,35.958052973985474,445
2022-01-14,Soap,Personal Care,61,65.78245041025374,446
2022-01-14,Shampoo,Personal Care,67,58.679319282947034,212
2022-01-15,Milk,Dairy,79,161.67608400368727,463
2022-01-15,Bread,Bakery,98,179.1010149453376,342
2022-01-15,Rice,Grocery,98,27.85656856976511,414
2022-01-15,Eggs,Dairy,109,98.46362344516743,262
2022-01-15,Soap,Personal Care,107,17.09615586235074,470
2022-01-15,Shampoo,Personal Care,106,167.29511071964185,259
2022-01-16,Milk,Dairy,80,26.21601834881592,246
2022-01-16,Bread,Bakery,111,147.9573534073057,468
2022-01-16,Rice,Grocery,117,161.0853770060537,474
2022-01-16,Eggs,Dairy,101,45.02339812296031,478
2022-01-16,Soap,Personal Care,89,87.70105943871128,257
2022-01-16,Shampoo,Personal Care,84,57.54615065127311,325
2022-01-17,Milk,Dairy,76,44.744539450388395,436
2022-01-17,Bread,Bakery,60,191.42440332600688,391
2022-01-17,Rice,Grocery,46,57.06888800521992,343
2022-01-17,Eggs,Dairy,62,32.83128308307201,484
2022-01-17,Soap,Personal Care,57,27.88982777102642,293
2022-01-17,Shampoo,Personal Care,72,43.31275127897432,417
2022-01-18,Milk,Dairy,80,163.3134656396481,299
2022-01-18,Bread,Bakery,44,85.71589953550095,209
2022-01-18,Rice,Grocery,65,178.46927358662904,379
2022-01-18,Eggs,Dairy,67,105.59588913021666,456
2022-01-18,Soap,Personal Care,67,139.9531161856468,215
2022-01-18,Shampoo,Personal Care,78,132.05966285919996,359
2022-01-19,Milk,Dairy,85,119.34009379641701,377
2022-01-19,Bread,Bakery,42,97.06804919338816,378
2022-01-19,Rice,Grocery,54,128.92853731929884,264
2022-01-19,Eggs,Dairy,47,182.0166219716521,243
2022-01-19,Soap,Personal Care,80,50.77193274459108,452
2022-01-19,Shampoo,Personal Care,75,139.7712869491078,289
2022-01-20,Milk,Dairy,56,14.421667789806914,314
2022-01-20,Bread,Bakery,54,32.45131724811469,313
2022-01-20,Rice,Grocery,62,176.71968257014007,416
2022-01-20,Eggs,Dairy,63,43.713513318147335,391
2022-01-20,Soap,Personal Care,58,149.01307350693165,235
2022-01-20,Shampoo,Personal Care,73,157.51846254097939,351
2022-01-21,Milk,Dairy,66,55.33340336016463,382
2022-01-21,Bread,Bakery,54,29.593535078827195,472
2022-01-21,Rice,Grocery,75,167.0269185604709,386
2022-01-21,Eggs,Dairy,74,20.162206382000093,432
2022-01-21,Soap,Personal Care,69,77.43198618791692,483
2022-01-21,Shampoo,Personal Care,72,118.95319874342437,343
2022-01-22,Milk,Dairy,76,124.4637759212126,252
2022-01-22,Bread,Bakery,107,160.02744713096524,308
2022-01-22,Rice,Grocery,121,114.41048764150975,332
2022-01-22,Eggs,Dairy,114,144.10798193695197,438
2022-01-22,Soap,Personal Care,89,154.68702002631971,452
2022-01-22,Shampoo,Personal Care,113,90.95738025891882,367
2022-01-23,Milk,Dairy,95,179.46041266758755,393
2022-01-23,Bread,Bakery,78,54.313333760660285,335
2022-01-23,Rice,Grocery,89,54.97018679959496,416
2022-01-23,Eggs,Dairy,76,81.489321250874,474
2022-01-23,Soap,Personal Care,117,182.20733316799985,238
2022-01-23,Shampoo,Personal Care,84,12.157192505809622,419
2022-01-24,Milk,Dairy,88,32.57540409093367,200
2022-01-24,Bread,Bakery,54,55.12622954556929,390
2022-01-24,Rice,Grocery,83,25.749351121737302,316
2022-01-24,Eggs,Dairy,56,195.80112706331147,372
2022-01-24,Soap,Personal Care,82,179.3171916026335,412
2022-01-24,Shampoo,Personal Care,54,58.06813191795581,346
2022-01-25,Milk,Dairy,76,41.58093206275805,213
2022-01-25,Bread,Bakery,54,129.23603521597204,458
2022-01-25,Rice,Grocery,65,63.38300602252376,423
2022-01-25,Eggs,Dairy,62,84.95914173554468,355
2022-01-25,Soap,Personal Care,67,42.23918174015745,363
2022-01-25,Shampoo,Personal Care,72,77.13692332495003,377
2022-01-26,Milk,Dairy,71,195.13501345657164,391
2022-01-26,Bread,Bakery,82,63.15506636209969,411
2022-01-26,Rice,Grocery,67,40.89721847552934,245
2022-01-26,Eggs,Dairy,47,190.46198352546557,455
2022-01-26,Soap,Personal Care,58,184.6435448487563,209
2022-01-26,Shampoo,Personal Care,80,114.8016957833733,204
2022-01-27,Milk,Dairy,62,157.74443390969284,345
2022-01-27,Bread,Bakery,70,81.58040428820874,481
2022-01-27,Rice,Grocery,80,169.2824538951162,297
2022-01-27,Eggs,Dairy,50,35.43190257212031,205
2022-01-27,Soap,Personal Care,83,111.52579225559799,332
2022-01-27,Shampoo,Personal Care,47,115.53202406449921,252
2022-01-28,Milk,Dairy,53,171.43300422870817,344
2022-01-28,Bread,Bakery,73,48.95861241623973,200
2022-01-28,Rice,Grocery,70,125.17318054566721,487
2022-01-28,Eggs,Dairy,48,14.21510098575731,449
2022-01-28,Soap,Personal Care,43,108.83106521127874,467
2022-01-28,Shampoo,Personal Care,51,116.5782145917234,421
2022-01-29,Milk,Dairy,101,101.20873373351027,406
2022-01-29,Bread,Bakery,119,143.77515593885246,302
2022-01-29,Rice,Grocery,108,76.61163617325343,297
2022-01-29,Eggs,Dairy,101,93.12023518450852,448
2022-01-29,Soap,Personal Care,107,158.8940724208172,229
2022-01-29,Shampoo,Personal Care,90,161.3296373780367,337
2022-01-30,Milk,Dairy,95,156.09437084992553,268
2022-01-30,Bread,Bakery,108,103.59743785864522,404
2022-01-30,Rice,Grocery,98,112.08004917567331,350
2022-01-30,Eggs,Dairy,95,36.377162803387925,207
2022-01-30,Soap,Personal Care,80,142.335278583145,480
2022-01-30,Shampoo,Personal Care,74,107.89485042420006,359
2022-01-31,Milk,Dairy,75,17.765037090630983,204
2022-01-31,Bread,Bakery,66,43.6319920125819,200
2022-01-31,Rice,Grocery,52,77.63838201167736,245
2022-01-31,Eggs,Dairy,57,105.6492814624228,272
2022-01-31,Soap,Personal Care,79,129.30107400327248,438
2022-01-31,Shampoo,Personal Care,73,184.96575610104452,260
2022-02-01,Milk,Dairy,59,163.17824316068166,312
2022-02-01,Bread,Bakery,61,49.77637143397496,326
2022-02-01,Rice,Grocery,76,127.46840659075623,277
2022-02-01,Eggs,Dairy,64,152.01947824541375,213
2022-02-01,Soap,Personal Care,84,145.53642131806495,310
2022-02-01,Shampoo,Personal Care,75,152.42708408163162,473
2022-02-02,Milk,Dairy,70,111.1972806264544,214
2022-02-02,Bread,Bakery,68,44.633936910432034,238
2022-02-02,Rice,Grocery,80,50.17512132934348,325
2022-02-02,Eggs,Dairy,67,75.15610421286945,224
2022-02-02,Soap,Personal Care,52,159.94253533539427,308
2022-02-02,Shampoo,Personal Care,71,120.99790209569215,233
2022-02-03,Milk,Dairy,61,121.44173258554423,435
2022-02-03,Bread,Bakery,67,63.91742210175765,205
2022-02-03,Rice,Grocery,60,56.42709953828436,428
2022-02-03,Eggs,Dairy,64,11.431528995474201,476
2022-02-03,Soap,Personal Care,50,56.73196839305655,203
2022-02-03,Shampoo,Personal Care,79,26.698648662627335,294
2022-02-04,Milk,Dairy,71,25.24441167571202,442
2022-02-04,Bread,Bakery,51,196.6519372126352,422
2022-02-04,Rice,Grocery,46,119.43969938307539,274
2022-02-04,Eggs,Dairy,57,165.2436934803632,293
2022-02-04,Soap,Personal Care,68,137.04221178564188,393
2022-02-04,Shampoo,Personal Care,64,118.60641099928097,372
2022-02-05,Milk,Dairy,79,193.91887263580452,474
2022-02-05,Bread,Bakery,89,149.88696490271275,339
2022-02-05,Rice,Grocery,83,64.8398051156486,492
2022-02-05,Eggs,Dairy,83,70.92201651030771,458
2022-02-05,Soap,Personal Care,107,73.95481285684491,209
2022-02-05,Shampoo,Personal Care,83,198.0924441540896,212
2022-02-06,Milk,Dairy,110,26.694941136104795,300
2022-02-06,Bread,Bakery,94,32.17225218691945,237
2022-02-06,Rice,Grocery,120,171.6382174031264,435
2022-02-06,Eggs,Dairy,93,188.2846867959972,275
2022-02-06,Soap,Personal Care,106,186.0253904820451,259
2022-02-06,Shampoo,Personal Care,105,167.30876856372348,428
2022-02-07,Milk,Dairy,55,41.210501606888656,204
2022-02-07,Bread,Bakery,71,109.38243070613267,331
2022-02-07,Rice,Grocery,76,121.77826840106077,495
2022-02-07,Eggs,Dairy,53,145.61866642251195,487
2022-02-07,Soap,Personal Care,63,112.55840176378028,262
2022-02-07,Shampoo,Personal Care,54,54.12041207789529,424
2022-02-08,Milk,Dairy,55,113.27504361165784,303
2022-02-08,Bread,Bakery,65,113.1413690165477,397
2022-02-08,Rice,Grocery,47,129.2645300835694,241
2022-02-08,Eggs,Dairy,73,176.93953192095327,488
2022-02-08,Soap,Personal Care,65,118.89866135890385,356
2022-02-08,Shampoo,Personal Care,45,144.3262876362572,488
2022-02-09,Milk,Dairy,72,118.27904012555014,209
2022-02-09,Bread,Bakery,53,74.99553225602241,493
2022-02-09,Rice,Grocery,66,170.82593542955846,415
2022-02-09,Eggs,Dairy,73,161.4861194981152,460
2022-02-09,Soap,Personal Care,82,87.70148364624372,372
2022-02-09,Shampoo,Personal Care,59,141.850204448749,491
2022-02-10,Milk,Dairy,75,123.81557930769203,347
2022-02-10,Bread,Bakery,59,75.07960886392324,333
2022-02-10,Rice,Grocery,61,64.70662713038797,417
2022-02-10,Eggs,Dairy,59,106.11884898804854,310
2022-02-10,Soap,Personal Care,57,187.10247367188634,332
2022-02-10,Shampoo,Personal Care,67,144.37534051954574,305
2022-02-11,Milk,Dairy,64,90.58482754745334,228
2022-02-11,Bread,Bakery,60,169.68353007628036,466
2022-02-11,Rice,Grocery,62,31.515228709743496,309
2022-02-11,Eggs,Dairy,43,175.28030879180437,254
2022-02-11,Soap,Personal Care,65,125.49993482090915,336
2022-02-11,Shampoo,Personal Care,68,159.68007885575355,353
2022-02-12,Milk,Dairy,123,112.10516455820535,274
2022-02-12,Bread,Bakery,108,98.48302324057451,216
2022-02-12,Rice,Grocery,99,41.44753031131502,360
2022-02-12,Eggs,Dairy,108,130.13021470471077,355
2022-02-12,Soap,Personal Care,106,43.826833705252774,283
2022-02-12,Shampoo,Personal Care,96,105.41705196293609,456
2022-02-13,Milk,Dairy,113,85.4904419369436,410
2022-02-13,Bread,Bakery,117,16.944436891138025,485
2022-02-13,Rice,Grocery,92,121.61618480447413,456
2022-02-13,Eggs,Dairy,101,96.12487860212525,393
2022-02-13,Soap,Personal Care,113,86.14498156631194,365
2022-02-13,Shampoo,Personal Care,73,73.52893414899162,254
2022-02-14,Milk,Dairy,48,80.92877009315306,361
2022-02-14,Bread,Bakery,67,14.823407575465524,487
2022-02-14,Rice,Grocery,63,135.19554896292874,446
2022-02-14,Eggs,Dairy,49,29.78063057706903,438
2022-02-14,Soap,Personal Care,46,178.61749167756557,291
2022-02-14,Shampoo,Personal Care,61,28.89386462427558,295
2022-02-15,Milk,Dairy,76,124.60750641362613,364
2022-02-15,Bread,Bakery,74,65.69806874959252,206
2022-02-15,Rice,Grocery,55,149.82187650724043,284
2022-02-15,Eggs,Dairy,73,44.47273266706149,235
2022-02-15,Soap,Personal Care,85,179.6076251046252,396
2022-02-15,Shampoo,Personal Care,69,59.290452351945575,394
2022-02-16,Milk,Dairy,73,167.82435624739745,492
2022-02-16,Bread,Bakery,53,92.86404053571017,479
2022-02-16,Rice,Grocery,65,117.4975577936465,258
2022-02-16,Eggs,Dairy,69,102.10788975856578,408
2022-02-16,Soap,Personal Care,61,112.91050078556472,436
2022-02-16,Shampoo,Personal Care,70,51.42439042387643,477
2022-02-17,Milk,Dairy,63,197.0364143336749,228
2022-02-17,Bread,Bakery,53,61.738392038680104,274
2022-02-17,Rice,Grocery,62,110.63571894446541,241
2022-02-17,Eggs,Dairy,51,62.07049193056914,216
2022-02-17,Soap,Personal Care,49,167.6509427043683,286
2022-02-17,Shampoo,Personal Care,69,36.60352234548531,226
2022-02-18,Milk,Dairy,69,149.11506990722185,297
2022-02-18,Bread,Bakery,63,136.35696816378854,372
2022-02-18,Rice,Grocery,69,18.92353368726046,392
2022-02-18,Eggs,Dairy,61,156.4873258517409,228
2022-02-18,Soap,Personal Care,70,64.85180998643298,363
2022-02-18,Shampoo,Personal Care,62,125.97688673151194,297
2022-02-19,Milk,Dairy,97,101.91343896715843,449
2022-02-19,Bread,Bakery,119,59.830168416966764,426
2022-02-19,Rice,Grocery,98,39.38770676781488,400
2022-02-19,Eggs,Dairy,96,30.253668095416643,400
2022-02-19,Soap,Personal Care,125,88.43077461528293,260
2022-02-19,Shampoo,Personal Care,118,97.33948742461492,490
2022-02-20,Milk,Dairy,89,161.88901700410605,371
2022-02-20,Bread,Bakery,104,122.14382670512654,474
2022-02-20,Rice,Grocery,117,163.41174784518464,216
2022-02-20,Eggs,Dairy,95,45.17525647933773,279
2022-02-20,Soap,Personal Care,111,149.12272841781663,348
2022-02-20,Shampoo,Personal Care,90,141.53254725839196,397
2022-02-21,Milk,Dairy,64,102.9907430921967,342
2022-02-21,Bread,Bakery,74,189.3712745404565,246
2022-02-21,Rice,Grocery,64,185.7971803089765,481
2022-02-21,Eggs,Dairy,66,16.44973593130178,316
2022-02-21,Soap,Personal Care,54,46.59381527926978,414
2022-02-21,Shampoo,Personal Care,85,151.56226414284188,302
2022-02-22,Milk,Dairy,69,123.29127691159007,307
2022-02-22,Bread,Bakery,79,24.62110830954974,492
2022-02-22,Rice,Grocery,57,93.79611073215071,238
2022-02-22,Eggs,Dairy,70,112.29628317234963,409
2022-02-22,Soap,Personal Care,55,91.09524076442423,307
2022-02-22,Shampoo,Personal Care,70,14.636148495742223,369
2022-02-23,Milk,Dairy,53,110.49805546517028,295
2022-02-23,Bread,Bakery,48,11.802232389414634,228
2022-02-23,Rice,Grocery,85,86.36687358575601,444
2022-02-23,Eggs,Dairy,66,175.99865169540436,438
2022-02-23,Soap,Personal Care,73,27.422873671171725,264
2022-02-23,Shampoo,Personal Care,85,30.990081494964986,341
2022-02-24,Milk,Dairy,80,66.29854288663812,492
2022-02-24,Bread,Bakery,79,13.396047599348623,272
2022-02-24,Rice,Grocery,70,84.40972670266765,339
2022-02-24,Eggs,Dairy,70,159.4055527389549,397
2022-02-24,Soap,Personal Care,59,124.15170482401763,261
2022-02-24,Shampoo,Personal Care,53,41.73644975749429,251
2022-02-25,Milk,Dairy,50,189.11903708567388,262
2022-02-25,Bread,Bakery,79,107.41081709313663,306
2022-02-25,Rice,Grocery,49,45.42326980740836,458
2022-02-25,Eggs,Dairy,68,162.14624055467627,253
2022-02-25,Soap,Personal Care,70,108.46946966851452,219
2022-02-25,Shampoo,Personal Care,81,43.040097351702585,377
2022-02-26,Milk,Dairy,103,39.24022220457246,359
2022-02-26,Bread,Bakery,109,128.35810275767255,288
2022-02-26,Rice,Grocery,81,120.21637948918412,297
2022-02-26,Eggs,Dairy,88,84.32225555527216,322
2022-02-26,Soap,Personal Care,105,18.431566071314986,425
2022-02-26,Shampoo,Personal Care,90,163.80805419772685,239
2022-02-27,Milk,Dairy,98,149.690404359456,425
2022-02-27,Bread,Bakery,107,10.965606565424933,450
2022-02-27,Rice,Grocery,89,104.21638966496646,236
2022-02-27,Eggs,Dairy,86,198.38031367755914,313
2022-02-27,Soap,Personal Care,121,101.31144969206312,314
2022-02-27,Shampoo,Personal Care,79,138.82306898622207,436
2022-02-28,Milk,Dairy,45,109.03945931427883,367
2022-02-28,Bread,Bakery,67,39.894725343479934,368
2022-02-28,Rice,Grocery,62,55.351105947193325,380
2022-02-28,Eggs,Dairy,52,127.53616186088502,387
2022-02-28,Soap,Personal Care,50,177.3654442477964,448
2022-02-28,Shampoo,Personal Care,67,34.48527481995458,357
2022-03-01,Milk,Dairy,63,165.41373458262183,405
2022-03-01,Bread,Bakery,63,11.21331562619838,423
2022-03-01,Rice,Grocery,65,72.02237953562566,432
2022-03-01,Eggs,Dairy,63,59.362680402190364,387
2022-03-01,Soap,Personal Care,75,158.17062507871728,273
2022-03-01,Shampoo,Personal Care,49,74.95571154735036,259
2022-03-02,Milk,Dairy,58,29.47684831822906,395
2022-03-02,Bread,Bakery,62,22.88904122998266,418
2022-03-02,Rice,Grocery,67,22.796614279066624,392
2022-03-02,Eggs,Dairy,78,175.5919931689515,391
2022-03-02,Soap,Personal Care,65,152.4338480311557,426
2022-03-02,Shampoo,Personal Care,70,14.671514127172287,232
2022-03-03,Milk,Dairy,59,102.84220617688649,257
2022-03-03,Bread,Bakery,63,61.98906659351652,484
2022-03-03,Rice,Grocery,59,29.41678774180661,238
2022-03-03,Eggs,Dairy,64,51.946226429864474,329
2022-03-03,Soap,Personal Care,67,53.71019977597244,226
2022-03-03,Shampoo,Personal Care,58,193.01496415362504,291
2022-03-04,Milk,Dairy,82,89.74819021596323,283
2022-03-04,Bread,Bakery,63,62.1008884462473,456
2022-03-04,Rice,Grocery,70,53.69137511930637,362
2022-03-04,Eggs,Dairy,67,116.9225544052427,407
2022-03-04,Soap,Personal Care,73,40.25669027306025,344
2022-03-04,Shampoo,Personal Care,75,156.47515048236988,373
2022-03-05,Milk,Dairy,78,161.39158729416522,380
2022-03-05,Bread,Bakery,95,45.23718618856432,214
2022-03-05,Rice,Grocery,107,123.68218037326112,435
2022-03-05,Eggs,Dairy,92,116.09840779080761,413
2022-03-05,Soap,Personal Care,78,68.96877219547902,404
2022-03-05,Shampoo,Personal Care,93,98.27373336080393,294
2022-03-06,Milk,Dairy,117,142.04655836404308,488
2022-03-06,Bread,Bakery,115,17.527576816187857,413
2022-03-06,Rice,Grocery,101,55.98855301388022,245
2022-03-06,Eggs,Dairy,115,104.78874915575766,285
2022-03-06,Soap,Personal Care,116,75.74314785251951,441
2022-03-06,Shampoo,Personal Care,103,111.50601913552457,432
2022-03-07,Milk,Dairy,52,166.65766891039843,353
2022-03-07,Bread,Bakery,67,35.215993268181464,289
2022-03-07,Rice,Grocery,70,166.07373832187463,305
2022-03-07,Eggs,Dairy,73,29.867889663536047,322
2022-03-07,Soap,Personal Care,53,187.88032678630105,422
2022-03-07,Shampoo,Personal Care,65,187.68834490689733,377
2022-03-08,Milk,Dairy,86,74.49553658313314,450
2022-03-08,Bread,Bakery,56,180.01516465150024,221
2022-03-08,Rice,Grocery,67,17.743280157569824,387
2022-03-08,Eggs,Dairy,62,25.50969658581202,211
2022-03-08,Soap,Personal Care,73,40.31348922150578,442
2022-03-08,Shampoo,Personal Care,83,195.41439860563494,372
2022-03-09,Milk,Dairy,65,40.7177833878925,410
2022-03-09,Bread,Bakery,65,199.30344405078097,258
2022-03-09,Rice,Grocery,51,86.61965861352805,292
2022-03-09,Eggs,Dairy,75,58.9597488171306,412
2022-03-09,Soap,Personal Care,84,129.46531545912956,419
2022-03-09,Shampoo,Personal Care,70,105.92052755967337,249
2022-03-10,Milk,Dairy,74,119.94832762875475,449
2022-03-10,Bread,Bakery,61,102.46709887069355,265
2022-03-10,Rice,Grocery,55,160.66165797507,494
2022-03-10,Eggs,Dairy,67,122.54656243273882,445
2022-03-10,Soap,Personal Care,79,82.9309588548813,217
2022-03-10,Shampoo,Personal Care,61,54.800497852249876,481
2022-03-11,Milk,Dairy,50,182.7161789264718,286
2022-03-11,Bread,Bakery,60,80.84124106589755,201
2022-03-11,Rice,Grocery,66,172.33316774022003,240
2022-03-11,Eggs,Dairy,83,122.65449596803855,430
2022-03-11,Soap,Personal Care,83,122.66066177263622,344
2022-03-11,Shampoo,Personal Care,67,173.0173882453141,460
2022-03-12,Milk,Dairy,77,123.75565621902044,363
2022-03-12,Bread,Bakery,106,54.588067269694704,209
2022-03-12,Rice,Grocery,85,72.86897896794267,292
2022-03-12,Eggs,Dairy,90,167.4878395176958,456
2022-03-12,Soap,Personal Care,93,121.69803051097352,200
2022-03-12,Shampoo,Personal Care,99,149.9163828624717,403
2022-03-13,Milk,Dairy,122,170.39238530414747,243
2022-03-13,Bread,Bakery,111,174.97154329751913,307
2022-03-13,Rice,Grocery,106,197.4716662678607,492
2022-03-13,Eggs,Dairy,89,33.200883661905095,397
2022-03-13,Soap,Personal Care,110,29.628701853562976,378
2022-03-13,Shampoo,Personal Care,94,38.185208182796885,380
2022-03-14,Milk,Dairy,67,13.302160135241131,416
2022-03-14,Bread,Bakery,63,96.40057257043323,377
2022-03-14,Rice,Grocery,73,111.12654787699684,350
2022-03-14,Eggs,Dairy,81,37.27304878748464,433
2022-03-14,Soap,Personal Care,74,194.2832887603814,328
2022-03-14,Shampoo,Personal Care,69,39.67113051051305,204
2022-03-15,Milk,Dairy,68,141.59893092297125,318
2022-03-15,Bread,Bakery,75,139.8171253750327,313
2022-03-15,Rice,Grocery,73,167.86666635492404,431
2022-03-15,Eggs,Dairy,67,31.490865624548874,488
2022-03-15,Soap,Personal Care,58,188.76631770423234,341
2022-03-15,Shampoo,Personal Care,75,133.73426563788348,289
2022-03-16,Milk,Dairy,70,199.88860789642663,262
2022-03-16,Bread,Bakery,48,87.31251253734541,375
2022-03-16,Rice,Grocery,60,27.19152210453964,358
2022-03-16,Eggs,Dairy,58,176.9179566472561,301
2022-03-16,Soap,Personal Care,56,136.8427432570811,281
2022-03-16,Shampoo,Personal Care,60,70.26718618542574,328
2022-03-17,Milk,Dairy,69,11.094145494643099,342
2022-03-17,Bread,Bakery,51,125.86804304475196,342
2022-03-17,Rice,Grocery,78,83.82603924136569,423
2022-03-17,Eggs,Dairy,58,53.18122917999878,466
2022-03-17,Soap,Personal Care,49,136.96043172545308,464
2022-03-17,Shampoo,Personal Care,49,108.62553917588143,316
2022-03-18,Milk,Dairy,79,38.308452634336994,492
2022-03-18,Bread,Bakery,65,100.57214025782024,242
2022-03-18,Rice,Grocery,60,151.90638606580632,220
2022-03-18,Eggs,Dairy,72,11.436946245847002,316
2022-03-18,Soap,Personal Care,81,56.26163634949686,402
2022-03-18,Shampoo,Personal Care,72,47.4592840488467,340
2022-03-19,Milk,Dairy,109,29.26995740535114,251
2022-03-19,Bread,Bakery,110,111.12944053441763,335
2022-03-19,Rice,Grocery,94,125.96341882907448,345
2022-03-19,Eggs,Dairy,87,195.57779534589,289
2022-03-19,Soap,Personal Care,104,33.41230429271155,307
2022-03-19,Shampoo,Personal Care,85,109.78104289674143,270
2022-03-20,Milk,Dairy,124,101.8736728767857,462
2022-03-20,Bread,Bakery,81,18.24838124241564,246
2022-03-20,Rice,Grocery,90,160.8113315722981,470
2022-03-20,Eggs,Dairy,88,181.00439344562213,407
2022-03-20,Soap,Personal Care,99,67.39149534861106,351
2022-03-20,Shampoo,Personal Care,91,90.51026819326493,401
2022-03-21,Milk,Dairy,81,155.66466568807715,441
2022-03-21,Bread,Bakery,58,54.694761112377115,307
2022-03-21,Rice,Grocery,41,51.180562017247375,349
2022-03-21,Eggs,Dairy,59,131.97458508422054,359
2022-03-21,Soap,Personal Care,59,58.80793105268582,276
2022-03-21,Shampoo,Personal Care,69,62.16264826002382,462
2022-03-22,Milk,Dairy,77,86.82056593981551,324
2022-03-22,Bread,Bakery,54,141.56286875163022,479
2022-03-22,Rice,Grocery,80,29.780833382991602,417
2022-03-22,Eggs,Dairy,54,182.04971054263802,308
