Employee_ID,Age,Gender,Department,Education_Level,Experience_Years,Salary,Training_Hours,Projects_Completed,Overtime_Hours,Absenteeism_Days,Last_Performance_Score,Performance_Level
116,53,Male,HR,PhD,20,106755,88,19,35,15,3,Medium
117,53,Female,HR,PhD,29,163009,61,1,17,8,3,Medium
118,25,Male,Marketing,Bachelors,20,86330,40,18,46,19,5,Medium
119,51,Male,Finance,Bachelors,6,198438,11,16,30,10,2,Low
120,58,Male,Finance,PhD,26,92322,92,17,34,14,1,Low
121,44,Female,Sales,PhD,14,122318,88,16,38,2,3,High
122,36,Female,IT,Masters,15,191232,99,1,37,12,2,Low
123,50,Female,Marketing,Bachelors,18,65313,53,18,14,12,5,Medium
124,57,Male,IT,PhD,5,47032,88,0,46,1,5,Medium
125,34,Male,IT,Bachelors,22,168430,92,10,5,5,2,Low
126,53,Female,Marketing,Masters,0,81710,10,9,7,5,1,Low
127,28,Female,Finance,PhD,11,115326,59,4,39,11,2,Low
128,43,Female,Marketing,PhD,17,106157,67,15,21,3,2,High
129,49,Female,IT,PhD,15,199893,77,4,0,4,4,Medium
130,23,Female,Finance,Bachelors,11,48365,45,11,12,7,5,Medium
131,27,Male,HR,Masters,19,33189,37,3,23,5,1,Low
132,49,Male,Marketing,Bachelors,12,27248,60,5,20,2,4,Medium
133,49,Male,Marketing,PhD,7,24369,16,18,44,7,2,Low
134,41,Female,Finance,Masters,26,159122,65,8,42,18,5,Medium
135,51,Male,HR,PhD,28,48605,71,11,3,10,4,Medium
136,32,Male,HR,PhD,29,69616,35,14,6,17,4,Medium
137,49,Male,Finance,Bachelors,25,123719,73,15,11,9,1,Low
138,46,Male,Sales,PhD,21,191955,6,12,12,19,2,Low
139,54,Male,Marketing,Masters,0,53055,99,6,43,11,1,Low
140,22,Female,Marketing,PhD,25,136680,15,19,15,19,4,Medium
141,48,Male,IT,PhD,20,27450,13,3,5,7,4,Medium
142,34,Female,Finance,Bachelors,6,153997,79,10,13,18,1,Low
143,24,Female,IT,Masters,14,70272,24,7,47,15,4,Medium
144,27,Female,IT,Bachelors,28,25310,3,5,30,17,3,Medium
145,29,Female,HR,PhD,21,51817,28,9,35,8,5,Medium
146,48,Female,Marketing,Bachelors,12,195600,55,6,36,3,2,Low
147,30,Male,IT,Bachelors,12,102641,5,6,40,8,5,Medium
148,58,Male,HR,Bachelors,27,35457,0,3,34,1,2,Low
149,54,Female,Finance,Bachelors,8,62311,38,2,9,8,4,Medium
150,45,Female,IT,PhD,23,155052,0,6,16,8,1,Low
151,36,Female,Marketing,PhD,14,171958,62,3,41,17,1,Low
152,53,Male,IT,Masters,3,143573,56,12,29,10,4,Medium
153,53,Female,Finance,Bachelors,12,117427,66,19,43,12,2,Low
154,45,Male,IT,Bachelors,26,56181,64,16,6,5,4,Medium
155,33,Female,Marketing,Masters,11,184334,64,6,17,8,2,Low
156,23,Male,HR,Bachelors,4,152019,20,16,18,15,4,Medium
157,24,Female,Marketing,Masters,6,151094,29,3,14,3,4,Medium
158,58,Male,HR,PhD,7,21128,95,10,38,1,4,Medium
159,38,Female,Sales,Masters,4,99522,32,2,43,6,1,Low
160,23,Male,Marketing,Bachelors,8,183394,47,10,21,14,2,Low
161,23,Male,Marketing,Masters,13,68929,21,2,38,5,4,Medium
162,49,Male,Finance,PhD,25,101696,93,11,41,10,5,Medium
163,44,Male,IT,Bachelors,11,135245,53,0,29,19,5,Medium
164,58,Male,HR,PhD,3,29808,3,3,19,16,1,Low
165,53,Male,HR,PhD,19,115148,86,13,31,3,3,High
166,54,Male,Finance,Masters,28,41725,54,0,41,18,1,Low
167,22,Female,Finance,PhD,7,92534,43,13,24,6,3,Medium
168,40,Female,IT,Bachelors,16,59950,88,12,22,10,1,Low
169,23,Female,IT,PhD,7,103576,11,12,4,12,5,Medium
170,47,Female,Marketing,PhD,20,40557,80,14,49,2,4,High
171,53,Female,Sales,Masters,28,41825,78,16,40,13,2,Low
172,27,Male,IT,PhD,29,28998,73,11,29,1,4,High
173,53,Male,Finance,Masters,26,56080,98,13,47,17,5,Medium
174,25,Male,IT,Masters,0,166874,51,11,38,4,2,High
175,32,Male,HR,Bachelors,19,162239,92,17,26,12,3,Medium
176,38,Male,Sales,Bachelors,1,62407,75,3,41,12,3,Medium
177,59,Female,Marketing,Bachelors,3,140283,64,13,36,13,5,Medium
178,45,Female,HR,Bachelors,23,33338,64,18,6,11,2,Low
179,26,Female,HR,Masters,20,96289,9,12,4,12,4,Medium
180,55,Female,Sales,PhD,0,169967,17,17,14,17,5,Medium
181,27,Male,Marketing,Bachelors,6,198982,46,10,41,12,3,Medium
182,43,Male,Finance,Bachelors,0,151029,65,5,7,3,5,Medium
183,32,Male,Marketing,Bachelors,8,129367,48,8,8,9,4,Medium
184,37,Female,IT,PhD,2,85898,71,11,10,4,1,High
185,54,Male,HR,Bachelors,11,154526,21,18,21,17,1,Low
186,30,Female,IT,PhD,18,137486,85,13,33,7,4,Medium
187,27,Male,Finance,Masters,14,106540,25,14,34,13,2,Low
188,37,Male,IT,Masters,21,156421,89,10,12,1,5,Medium
189,50,Female,Marketing,Masters,15,145416,8,5,10,7,4,Medium
190,24,Male,IT,PhD,9,59963,20,13,31,15,1,Low
191,41,Male,Finance,Bachelors,21,158822,94,2,41,6,3,Medium
192,57,Female,Finance,Bachelors,28,114929,62,18,14,2,4,High
193,40,Male,Finance,Bachelors,26,173535,5,19,37,3,4,Medium
194,47,Female,Marketing,Bachelors,26,94935,13,10,0,6,4,Medium
195,24,Male,Finance,Bachelors,5,33686,32,16,45,3,1,Low
196,40,Male,HR,PhD,28,83528,70,16,49,8,1,Low
197,41,Male,Finance,Masters,16,119811,23,2,23,16,4,Medium
198,53,Male,IT,Bachelors,20,42787,72,13,42,16,4,Medium
199,28,Male,IT,Masters,27,165848,74,6,39,19,2,Low
200,54,Male,IT,PhD,21,135613,86,18,21,13,3,Medium
201,39,Male,Marketing,PhD,23,124887,50,2,2,13,5,Medium
202,22,Male,IT,Bachelors,28,81086,1,1,13,12,5,Medium
203,32,Female,Marketing,PhD,16,122231,14,16,1,3,5,Medium
204,49,Female,Marketing,Masters,20,83308,34,8,31,12,1,Low
205,46,Male,Finance,Bachelors,18,35797,35,5,47,16,1,Low
206,44,Male,HR,Bachelors,17,25302,91,8,37,14,2,Low
207,52,Female,Finance,Masters,10,58059,38,4,32,17,1,Low
208,51,Male,Finance,Bachelors,23,151980,3,1,45,10,4,Medium
209,56,Male,Marketing,Bachelors,6,163949,63,14,41,3,3,High
210,28,Female,Marketing,Masters,9,34239,73,8,5,19,3,Medium
211,37,Male,IT,Bachelors,6,47313,5,18,40,10,3,Medium
212,47,Male,IT,Bachelors,4,62103,56,9,38,9,3,Medium
213,23,Female,Finance,Masters,11,199480,29,3,24,12,5,Medium
214,22,Male,Sales,PhD,15,108771,98,9,33,7,5,Medium
215,33,Male,Sales,Masters,28,146228,73,7,10,12,4,Medium
216,26,Female,IT,Bachelors,24,111665,95,12,45,8,2,Low
217,58,Male,Sales,Masters,20,30534,66,6,36,0,1,Low
218,53,Female,IT,Bachelors,17,63060,89,6,40,0,1,Low
219,30,Male,Marketing,Bachelors,2,37189,14,3,6,14,5,Medium
220,56,Male,Finance,Masters,19,148431,16,14,45,3,3,Medium
221,40,Female,HR,Bachelors,14,106067,90,11,47,19,4,Medium
222,37,Female,Finance,PhD,4,30967,17,15,21,0,2,Low
223,24,Male,IT,Bachelors,12,85563,18,5,47,11,5,Medium
224,41,Female,IT,Masters,18,28660,75,8,38,10,4,Medium
225,45,Female,Finance,PhD,11,138671,87,2,9,18,4,Medium
226,54,Male,IT,PhD,29,149909,68,7,20,14,5,Medium
227,45,Male,Sales,Bachelors,22,190895,23,6,5,9,4,Medium
228,32,Male,Sales,Masters,20,160688,90,3,48,0,3,Medium
229,29,Female,IT,Bachelors,4,95976,47,12,0,2,4,Medium
230,57,Female,IT,Bachelors,5,199810,29,18,33,13,2,Low
231,59,Female,Sales,Masters,6,33107,14,6,13,14,4,Medium
232,41,Female,IT,Masters,25,114182,46,9,35,0,1,Low
233,56,Male,IT,Bachelors,9,111787,43,11,26,9,4,Medium
234,46,Female,Finance,PhD,15,35954,97,2,8,0,5,Medium
235,56,Male,HR,Bachelors,7,36943,26,11,5,14,1,Low
236,46,Female,Sales,PhD,8,60725,83,18,30,2,5,High
237,50,Male,Finance,Bachelors,26,65434,63,14,16,19,2,Low
238,39,Male,HR,Masters,3,105751,40,7,42,11,3,Medium
239,39,Male,IT,PhD,20,30110,95,11,35,18,2,Low
240,23,Female,IT,Masters,20,36462,67,19,20,15,1,Low
241,56,Male,Finance,Masters,7,99232,4,5,26,7,3,Medium
242,37,Male,IT,Masters,24,86567,52,9,40,13,4,Medium
243,57,Female,Marketing,Masters,6,147425,7,1,27,17,1,Low
244,54,Male,Finance,Masters,14,76063,21,12,15,0,3,Medium
245,25,Female,HR,Bachelors,20,133394,6,6,34,1,5,Medium
246,54,Female,Finance,PhD,2,75240,21,7,35,11,3,Medium
247,35,Male,Sales,Bachelors,16,101352,45,15,34,16,5,Medium
248,42,Male,Finance,Bachelors,10,168940,29,10,44,1,5,Medium
249,41,Female,IT,Bachelors,8,100989,15,3,18,16,3,Medium
250,29,Male,IT,Masters,4,42222,78,16,20,6,2,Low
251,28,Female,Marketing,Bachelors,24,99794,4,15,32,5,2,Low
252,24,Female,Marketing,PhD,9,83924,66,18,22,5,5,Medium
253,38,Female,Marketing,Bachelors,14,119854,22,10,5,7,1,Low
254,54,Male,HR,Masters,27,98513,60,6,31,4,3,Medium
255,33,Female,Marketing,PhD,28,74649,73,12,21,14,1,Low
256,43,Male,HR,PhD,13,122986,4,18,2,6,2,Low
257,43,Male,Marketing,PhD,3,103749,22,16,34,2,1,Low
258,51,Male,HR,PhD,20,161295,78,12,15,9,4,Medium
259,59,Male,Finance,Bachelors,19,199238,81,11,41,2,4,High
260,59,Female,Finance,Masters,1,59369,24,6,24,13,2,Low
261,29,Male,IT,PhD,11,106379,7,0,16,2,1,Low
262,48,Female,HR,PhD,0,89392,94,0,38,0,3,Medium
263,48,Female,Sales,Masters,23,32661,20,19,12,0,2,Low
264,55,Male,IT,Bachelors,19,166663,1,13,27,18,4,Medium
265,42,Female,Finance,PhD,4,91718,21,14,10,3,2,Low
266,51,Female,HR,Bachelors,5,27970,71,10,9,1,1,Low
267,54,Male,Marketing,Bachelors,29,67922,86,8,38,10,1,Low
268,49,Female,Sales,Bachelors,23,50755,95,16,23,11,1,Low
269,54,Female,Finance,Bachelors,10,140926,71,3,37,12,5,Medium
270,26,Female,IT,PhD,7,39416,67,19,23,15,1,Low
271,40,Female,HR,PhD,6,33672,63,18,32,15,4,Medium
272,25,Male,Sales,Bachelors,3,148145,93,6,16,18,4,Medium
273,56,Female,HR,Bachelors,5,198068,18,0,43,19,5,Medium
274,38,Female,Marketing,Masters,15,94095,86,8,35,19,4,Medium
275,49,Female,IT,Masters,19,20064,81,12,34,8,4,Medium
276,51,Female,HR,Masters,14,88835,52,1,5,15,2,Low
277,50,Male,Finance,PhD,13,156711,92,1,15,6,1,Low
278,27,Female,IT,Masters,22,162127,86,14,44,12,2,Low
279,56,Male,Finance,PhD,11,107594,96,16,27,3,2,High
280,58,Female,HR,PhD,28,180499,51,12,40,12,4,Medium
281,45,Male,IT,PhD,11,136916,46,6,31,7,3,Medium
282,50,Male,Finance,PhD,15,140308,81,8,25,1,1,Low
283,52,Male,Marketing,Masters,14,102516,53,11,10,6,3,Medium
284,56,Male,Marketing,Bachelors,28,84666,43,2,24,10,4,Medium
285,54,Male,HR,Bachelors,12,138294,96,14,30,16,5,Medium
286,42,Female,IT,Bachelors,10,30866,6,6,20,13,2,Low
287,53,Female,Sales,Masters,29,23889,91,0,44,12,4,Medium
288,44,Female,IT,Bachelors,16,138194,0,13,2,14,4,Medium
289,54,Male,Marketing,Masters,20,144714,62,18,11,8,3,Medium
290,24,Female,Finance,Masters,14,199298,97,15,39,2,5,High
291,39,Male,Sales,Masters,13,51335,38,9,45,12,2,Low
292,46,Male,HR,Bachelors,9,70547,18,0,40,12,5,Medium
293,52,Female,Sales,Bachelors,11,177234,30,4,24,8,5,Medium
294,24,Female,HR,Bachelors,15,175759,76,2,16,17,5,Medium
295,45,Male,Sales,PhD,14,118756,23,16,37,4,1,Low
296,53,Male,HR,Masters,9,30995,68,17,35,10,5,Medium
297,43,Female,HR,PhD,3,22631,86,18,35,1,4,High
298,44,Female,Sales,Masters,26,186026,82,17,18,16,1,Low
299,23,Female,Sales,Bachelors,22,157039,64,15,43,19,1,Low
300,48,Female,HR,Masters,28,108294,32,1,1,3,5,Medium
301,23,Male,Marketing,Masters,8,107278,58,14,16,17,4,Medium
302,47,Female,Sales,PhD,20,84471,32,12,29,19,2,Low
303,38,Female,IT,Masters,19,57116,31,12,46,7,5,Medium
304,54,Female,Finance,Bachelors,8,112116,58,15,9,18,1,Low
305,30,Male,HR,Masters,20,185299,91,7,34,11,2,Low
306,50,Male,HR,Masters,24,153014,40,10,35,10,2,Low
307,47,Male,Finance,Masters,23,67664,11,7,32,15,1,Low
308,56,Male,Marketing,PhD,19,179141,72,9,0,4,2,Low
309,46,Female,Finance,Masters,10,107342,10,0,17,2,4,Medium
310,45,Male,Sales,Masters,10,34407,96,11,3,11,4,Medium
311,34,Female,Finance,PhD,6,133926,18,8,46,14,5,Medium
312,28,Female,HR,PhD,20,79201,53,4,26,15,5,Medium
313,57,Female,Finance,PhD,9,100093,56,8,24,12,2,Low
314,41,Female,IT,PhD,3,37878,41,15,27,6,1,Low
315,22,Male,Sales,Bachelors,4,103100,97,17,21,14,4,Medium
316,29,Male,Finance,Bachelors,4,98629,70,7,41,2,3,Medium
317,37,Male,HR,Masters,10,63168,30,10,24,11,5,Medium
318,35,Female,Sales,Bachelors,8,74862,51,19,16,7,4,Medium
319,33,Female,HR,Masters,27,48004,1,18,43,11,2,Low
320,44,Female,Marketing,Bachelors,15,40471,82,3,11,17,4,Medium
321,36,Female,IT,PhD,8,111820,37,19,15,2,4,Medium
322,49,Female,Marketing,PhD,21,122229,31,9,36,11,2,Low
323,55,Male,IT,Bachelors,29,85308,9,12,15,1,5,Medium
324,23,Female,Finance,Bachelors,3,103969,7,19,16,13,5,Medium
325,53,Male,Sales,Masters,1,34568,89,13,30,13,3,Medium
326,44,Female,Finance,Masters,13,29466,93,1,14,3,3,Medium
327,43,Female,IT,Masters,2,77324,74,3,12,16,5,Medium
328,46,Male,IT,PhD,17,122208,19,6,39,14,5,Medium
329,43,Male,IT,PhD,20,166539,19,18,26,15,5,Medium
330,43,Female,HR,PhD,5,95955,8,16,20,4,5,Medium
331,27,Female,Sales,PhD,10,167748,71,15,1,16,4,Medium
332,36,Female,Finance,Masters,20,114791,14,12,7,6,3,Medium
333,58,Female,Finance,PhD,17,182586,97,17,41,14,2,Low
334,54,Male,Marketing,PhD,11,128718,87,11,6,16,1,Low
335,29,Female,IT,PhD,4,42650,96,0,9,11,2,Low
336,26,Male,IT,PhD,8,108290,62,14,3,10,1,Low
337,25,Female,IT,Bachelors,19,97701,90,2,42,18,4,Medium
338,27,Male,Finance,Masters,27,30683,20,5,40,10,3,Medium
339,53,Male,Marketing,Masters,25,100978,4,13,35,1,1,Low
340,51,Female,HR,PhD,17,24860,34,5,34,14,5,Medium
341,56,Male,Sales,Bachelors,18,154801,84,0,42,4,4,Medium
342,37,Female,HR,Masters,2,51351,67,19,2,17,1,Low
343,34,Male,Finance,Masters,8,82744,47,5,17,15,5,Medium
344,51,Female,IT,PhD,3,175418,79,7,45,3,4,Medium
345,40,Male,Sales,PhD,16,140198,94,14,42,9,1,Low
346,38,Female,Finance,Masters,16,94155,89,13,23,1,5,High
347,40,Female,Finance,Masters,22,141449,61,15,31,14,3,Medium
348,49,Male,Finance,Bachelors,22,96700,34,19,33,3,4,Medium
349,47,Male,Sales,Masters,1,26955,69,15,1,15,1,Low
350,58,Male,Sales,Masters,8,195365,96,18,1,6,5,Medium
351,47,Male,Marketing,PhD,8,41662,20,0,9,11,3,Medium
352,44,Female,Marketing,Masters,4,26408,79,3,22,2,5,Medium
353,30,Male,HR,PhD,14,191475,38,9,14,16,3,Medium
354,33,Female,Sales,Masters,14,21225,33,19,11,8,1,Low
355,22,Male,Sales,Masters,2,163268,14,17,42,7,5,Medium
356,22,Female,Sales,Masters,18,166444,5,1,16,5,5,Medium
357,55,Female,Marketing,Bachelors,27,37279,65,3,17,14,2,Low
358,53,Female,Finance,PhD,2,130401,87,14,13,9,4,Medium
359,46,Female,IT,Bachelors,5,112404,55,3,16,5,5,Medium
360,22,Male,Marketing,Masters,3,189259,48,15,14,14,3,Medium
361,37,Male,Sales,Bachelors,23,68481,91,14,11,13,4,Medium
362,26,Female,Marketing,PhD,12,179547,0,17,15,18,1,Low
363,43,Male,HR,Masters,26,64552,64,6,31,12,4,Medium
364,50,Male,Sales,Bachelors,12,157930,27,14,22,13,2,Low
365,24,Female,HR,Bachelors,26,94474,99,10,37,2,1,Low
366,33,Male,Sales,PhD,10,45168,19,18,33,3,5,Medium
367,47,Male,Marketing,Bachelors,4,52099,47,7,33,13,1,Low
368,37,Male,Finance,PhD,0,81455,71,0,15,13,1,Low
369,58,Female,IT,Masters,8,74240,64,2,33,7,2,Low
370,43,Male,HR,Masters,16,94796,89,4,39,9,3,Medium
371,50,Female,Marketing,Bachelors,21,74592,50,17,6,8,1,Low
372,35,Male,Finance,Masters,0,142181,42,11,32,13,3,Medium
373,49,Male,Marketing,Masters,2,198530,48,11,3,7,4,Medium
374,26,Male,HR,Bachelors,14,121611,24,18,42,10,2,Low
375,51,Female,IT,Masters,25,78046,73,8,6,9,5,Medium
376,26,Female,Marketing,Bachelors,20,36488,75,10,17,17,1,Low
377,33,Male,Sales,PhD,25,138521,40,16,3,3,3,Medium
378,37,Female,Finance,PhD,22,151467,70,15,48,3,1,High
379,47,Male,Marketing,PhD,29,161917,63,3,10,11,2,Low
380,47,Female,Finance,Bachelors,9,187131,60,9,42,17,5,Medium
381,42,Female,Sales,Bachelors,7,38394,11,14,19,7,4,Medium
382,57,Male,IT,Masters,11,113993,80,18,10,2,4,High
383,54,Male,IT,Masters,24,196978,68,2,14,17,3,Medium
384,51,Male,Sales,Masters,21,79332,13,4,45,6,4,Medium
385,58,Male,Finance,Masters,14,188377,33,10,16,0,3,Medium
386,44,Female,Marketing,Masters,26,62628,47,4,33,12,5,Medium
387,31,Female,Sales,Bachelors,8,41352,60,6,49,2,1,Low
388,26,Female,HR,Bachelors,23,102971,80,5,47,2,2,Low
389,57,Male,Finance,PhD,24,71993,34,12,11,14,5,Medium
390,55,Male,IT,PhD,9,190458,64,1,41,18,5,Medium
391,52,Female,Sales,PhD,19,123027,58,18,27,3,4,High
392,31,Male,IT,PhD,8,140212,35,10,47,12,4,Medium
393,40,Female,Finance,Bachelors,14,28539,78,19,34,12,2,Low
394,53,Female,IT,Bachelors,22,152335,18,4,7,14,1,Low
395,22,Female,Sales,Bachelors,20,164377,41,8,26,18,5,Medium
396,26,Female,Finance,Masters,20,73817,68,5,21,15,4,Medium
397,25,Female,HR,Masters,0,175470,18,16,23,6,5,Medium
398,37,Male,Sales,PhD,1,69107,38,18,1,2,1,Low
399,45,Male,Marketing,Masters,25,183224,68,7,30,19,3,Medium
400,37,Male,Sales,Bachelors,18,181696,51,6,21,1,1,Low
401,23,Female,Finance,PhD,29,149240,11,4,0,17,5,Medium
402,49,Female,Sales,PhD,13,119655,82,14,13,10,5,Medium
403,53,Female,HR,Masters,7,76132,46,9,24,0,2,Low
404,48,Female,HR,PhD,5,145701,75,15,35,15,5,Medium
405,41,Male,Marketing,Masters,11,125494,35,8,35,16,4,Medium
406,45,Male,IT,Masters,25,72979,62,6,40,15,2,Low
407,33,Female,Finance,PhD,26,78013,75,10,2,9,5,Medium
